delta_US,delta_EU,delta_CN,delta_RoW,cost_US,cost_EU,cost_CN,cost_RoW,pressure_US,pressure_EU,pressure_CN,pressure_RoW,lam_US,lam_EU,lam_CN,lam_RoW,theta,gamma,eta,kappa,success_rate,mean_W,mean_coord_time,fm_US,fm_EU,fm_CN,fm_RoW
0.8060696224151307,0.8831735255025543,0.6836684856417441,0.7061627413507329,1.1389643347865475,1.4622319987587988,1.4214333951111833,1.0175389279741167,1.2385990940785163,1.8156934706312193,2.260281090807211,1.726998162729925,4.222210961011957,1.890319041030911,3.916858126376151,2.394088959052269,0.7143988446604363,0.28654214412116386,19.76664600964821,0.15565365088480473,1.0,0.9991719858904642,2.015,0.995,0.065,0.0,0.0
0.7745381249803318,0.8445174752468801,0.6953446244082154,0.7384610775564022,1.5581655721961853,1.4294205328374687,1.4731173327412388,0.6721232164789108,1.6816260491174,1.8985013788554745,2.3704476576976545,2.95380681440785,2.868093343151805,1.411092670462787,4.816025793176549,1.5825070705653235,0.7969846761181443,0.3284320656910106,9.713036324167344,0.19480975953709326,1.0,1.0,3.535,0.08,0.525,0.0,0.54
0.7398893084586939,0.8173195853736966,0.6965335489931475,0.562200565684017,0.848813627467704,1.546504181462164,1.5394586785664153,0.9075261704396502,2.75514111644853,1.9443835350456258,2.037235474922717,1.2293338698008638,4.612563333738802,0.9286498399445006,1.1912319754710676,2.2520451607276173,0.6652012500788625,0.2434788854630283,9.74520504952907,0.056068531015408984,0.585,0.562448528949476,3.4188034188034186,0.415,0.445,0.0,0.0
0.7557634434893141,0.8122214606032854,0.7918520127742222,0.7309609617364381,0.9112908230328417,1.4691203021015178,0.7758645012977826,1.2600175391361672,1.1673523763711482,1.8673072653309841,1.2637085182108045,2.997308890827477,0.2732087989196569,1.9667635834604236,2.223053181011787,3.5021295892249404,0.8804196796142623,0.44104030002809635,15.838720758122554,0.10847780058994902,0.975,0.9778145287560482,3.5846153846153848,0.315,0.08,0.38,0.0
0.8603417580906509,0.8490176803028944,0.7290965772092228,0.7685106030889395,0.851563347463935,0.8988151270658612,1.3851713920870603,0.5145558004796369,2.990309046331667,2.0053329658769394,2.217433317053688,2.3977789078076484,2.979009866250456,4.096585469181073,4.491603496223297,4.41609431971061,0.8105942503230466,0.12748552637247362,14.33689230905105,0.09737142767006988,1.0,1.0,2.025,0.995,0.05,0.0,0.0
0.7308246873032149,0.8577659454228681,0.7381188730447432,0.6818002976429514,1.4625724448742496,1.1203925103984058,1.3238436264105546,0.9450264886762378,0.6604178325132216,2.2206632807297373,2.4224936348407047,2.77503512019203,2.914296992007837,2.042079376663373,4.481043668091567,4.467335382089608,0.6975946393227739,0.39729160046969725,10.538710074677176,0.12733991056171726,1.0,0.9774837699516143,3.0,0.0,0.145,0.0,0.0
0.6898766623926245,0.7918789628081588,0.7165397181549046,0.6799475874946255,1.106157890839503,1.57563718507644,0.6462346405223203,1.2452245840985863,2.5318394339262897,2.6464421771238946,0.378904935019163,0.7902959099434608,1.7570605390974627,2.767976094481994,1.9823426205802699,4.810554545208396,0.8180880801486712,0.194518496426594,21.742827466242755,0.16692117789313746,1.0,1.0,2.08,0.025,0.005,0.945,0.0
0.8295858155363455,0.803650577814148,0.8618265413087871,0.7169274244989963,0.4904089788740745,1.359412016612766,1.555321516055053,1.2693411268216686,1.695223915500534,2.828609902217796,1.5887907692979872,2.1338472625788008,4.785926787829509,1.598763113579722,4.528682558903123,1.9082597284123965,0.8054452438733165,0.36710575320065686,16.650729495980933,0.14406885773726774,1.0,1.0,2.0,1.0,0.065,0.0,0.0
0.7397709309477443,0.8241918706982697,0.8445751073165022,0.7663294896012827,0.4117169651533581,1.0400754532283063,0.7349638194592505,1.1803184090452545,0.8244318028830762,0.3716514678108741,0.6065090493903385,2.659520003090894,1.5750438395233837,2.2165363059498926,0.2509434081072709,3.6672756023236057,0.7406605716648893,0.4164992811911492,11.869339129036875,0.03600854736835568,1.0,1.0,2.41,0.65,0.15,0.48,0.0
0.8088748221984908,0.8304386096319547,0.7144069653042217,0.5770348597344643,1.4538904840686686,0.9647710615248064,0.4914609862275753,0.40131954772108464,2.9454105134492625,2.0271423400586093,0.8838444277684444,2.5188471180201653,4.719864952627469,3.3005702519373457,0.6075840354746986,4.168147807819538,0.917203695677947,0.2501215011014313,18.511395937706247,0.12225796576620376,1.0,1.0,2.49,0.0,0.025,0.57,0.0
0.8114280341297253,0.8575180392709093,0.8333417127028707,0.6026740549340823,1.1289244172534139,0.8509346893348185,0.6204675331648533,1.4843071768939238,2.958325406100442,0.7640535336493955,0.37624692160039536,2.8581003893438246,1.4389195484425505,3.7330172233854197,1.5133499130030883,3.044937793921292,0.8066338217763003,0.2941593255124388,20.721549690654378,0.04648187556435368,1.0,1.0,2.095,0.145,0.18,0.22,0.0
0.7122886430024936,0.7912647763384626,0.6996827445410566,0.7020616105332864,0.5010739286859061,1.3438371205821653,0.42794337938131854,0.7589086993072864,0.3754122541270509,0.4907641392579332,1.5102910667860572,2.122808922453726,4.670227601689413,0.7762207777699386,4.313794338046732,2.901188983513058,0.6489440386819497,0.3071396501907787,16.501817696402078,0.12779167910716172,1.0,1.0,1.025,0.975,0.265,1.0,0.0
0.6594045491982772,0.7916676721197443,0.7910919849128181,0.7423729897608821,1.3348619843542668,0.8151010451682373,1.5960759648209693,0.5047716340805495,1.4389807960533574,1.5547503130299067,1.0965834009312596,1.783268054952931,4.546470780478754,1.7324315972393434,3.7286182304726982,3.166567661676434,0.6390860033254603,0.13106670422288189,15.672569422173392,0.16080694801628242,1.0,0.7185471243951795,2.005,0.0,0.175,0.0,1.0
0.8611490971846696,0.8263405300052247,0.8610660818993575,0.6003511604235052,0.839976010788215,0.7866665559188641,1.3409146471790456,0.8026900355519104,2.5769794404275,0.5973721273997221,1.0472853559535342,2.6105873331183167,0.7940220555789246,3.6940371315506644,2.027203548684817,0.3565961568628322,0.8546637652352502,0.38353524777539716,11.463447572369322,0.05730306856453489,1.0,1.0,2.985,0.665,0.21,0.025,0.065
0.6564087458802172,0.8825384625715542,0.7218765717056341,0.6815157248758158,0.5551354988876377,1.5323663808831962,1.085605363277646,1.4524395346237347,1.6556526116633377,2.3538105148752058,2.356204758517026,1.398371631653426,4.819056879842086,2.050291218596023,2.0511908966796937,3.654079229466414,0.6809978888371915,0.3623863402402847,9.513290466806435,0.03069566670764823,1.0,0.8343971780928294,2.415,0.725,0.195,0.005,0.0
