vary_bloc,lam_value,cost_mult,success_rate,mean_coord_time,fm_US,fm_CN
US,0.9098624806503868,0.5052508142929222,0.94,3.4539007092198584,0.35333333333333333,0.12666666666666668
US,2.8025214976418473,0.9023299609484554,0.94,3.7943262411347516,0.04666666666666667,0.20666666666666667
US,3.2101249564964514,1.2054776959703113,0.64,3.5416666666666665,0.013333333333333334,0.29333333333333333
US,1.6677321541488337,1.4780398568338433,0.03333333333333333,4.6,0.006666666666666667,0.0
US,3.168862514747283,0.7246419290922109,0.9933333333333333,3.5503355704697985,0.11333333333333333,0.21333333333333335
US,1.774672062202189,0.7773279762451155,0.9466666666666667,3.732394366197183,0.12666666666666668,0.13333333333333333
US,1.0516407701874988,0.57734004705063,0.9533333333333334,3.895104895104895,0.28,0.06666666666666667
US,3.776446121815104,0.925484844638504,0.9666666666666667,3.731034482758621,0.06,0.22666666666666666
US,1.8416193797209344,1.2756228504128537,0.25333333333333335,3.9473684210526314,0.02,0.013333333333333334
US,2.43547572838515,1.5233679842061547,0.006666666666666667,5.0,0.0,0.0
US,3.2310552286828726,0.9752434769494486,0.92,3.86231884057971,0.02,0.24
US,1.8172581571828919,1.5839578539091868,0.006666666666666667,4.0,0.0,0.0
US,3.012160826012752,1.5414335920046094,0.0,,0.0,0.0
US,0.9146750202596448,1.4206404150289393,0.2866666666666667,4.046511627906977,0.10666666666666667,0.013333333333333334
US,2.7297585939692266,0.5463060140021352,0.98,3.326530612244898,0.24666666666666667,0.15333333333333332
US,2.5589029998922723,1.2233156381265387,0.5533333333333333,3.4939759036144578,0.02666666666666667,0.2733333333333333
US,0.5430594006101099,0.945181554210096,0.8266666666666667,4.241935483870968,0.23333333333333334,0.02666666666666667
US,3.388898289187124,0.7544308304129079,0.9866666666666667,3.5067567567567566,0.11333333333333333,0.23333333333333334
US,2.1049182862949287,0.930776952481472,0.8666666666666667,3.830769230769231,0.06,0.19333333333333333
US,1.5567458700487204,1.5021302746186653,0.02666666666666667,4.0,0.006666666666666667,0.0
US,3.2345291240103053,0.5327060931953327,1.0,3.1066666666666665,0.30666666666666664,0.14666666666666667
US,3.9896213024315057,1.4550400291692944,0.0,,0.0,0.0
US,1.4936795325241363,1.404275895593126,0.06666666666666667,4.0,0.013333333333333334,0.006666666666666667
US,0.8724683615498401,1.5989256765690865,0.2,4.366666666666666,0.06666666666666667,0.0
US,2.829896576372879,1.1801500186705565,0.6266666666666667,3.648936170212766,0.0,0.26
US,0.8165425444444646,1.4764400786759504,0.29333333333333333,4.5227272727272725,0.05333333333333334,0.0
US,0.601498261215643,0.6889936696493766,0.88,4.037878787878788,0.19333333333333333,0.06
US,1.0005765630832224,1.3321215288306623,0.38,4.631578947368421,0.07333333333333333,0.013333333333333334
US,1.1937147952451426,1.4927658725570625,0.19333333333333333,4.551724137931035,0.05333333333333334,0.0
US,2.7969416376462153,0.4433952525936355,0.9733333333333334,3.1506849315068495,0.3466666666666667,0.17333333333333334
US,0.5190044194504516,0.46198950041727876,0.94,3.6666666666666665,0.37333333333333335,0.02
US,2.620738121767047,1.3617781730312983,0.006666666666666667,4.0,0.0,0.0
US,1.3349348721958596,1.4192906115076878,0.11333333333333333,4.294117647058823,0.02666666666666667,0.0
US,0.7003117905364113,1.3611566243700115,0.5066666666666667,4.065789473684211,0.16666666666666666,0.006666666666666667
US,3.7472840056029812,1.326530078925257,0.0,,0.0,0.0
US,2.9434227439252303,1.40557626238646,0.013333333333333334,3.5,0.013333333333333334,0.0
US,0.6405295484147324,0.6421385328628665,0.8733333333333333,4.0,0.2733333333333333,0.07333333333333333
US,0.9372328775697507,1.0054371882315838,0.7466666666666667,4.044642857142857,0.16666666666666666,0.06
US,3.108158449150956,1.1560142134916784,0.76,3.719298245614035,0.013333333333333334,0.16666666666666666
US,3.4789588491667724,0.5862555909293091,0.98,3.108843537414966,0.23333333333333334,0.21333333333333335
US,3.0711738217730655,0.631649789042685,0.9866666666666667,3.4864864864864864,0.14,0.18666666666666668
US,1.4476556296123009,1.2518856367375648,0.36666666666666664,3.4909090909090907,0.09333333333333334,0.06
US,3.9307167471453863,1.1338523271724836,0.7466666666666667,3.8035714285714284,0.006666666666666667,0.18
US,0.6907511024695345,1.1395707639130395,0.7,4.285714285714286,0.14,0.03333333333333333
US,0.6482269305305848,1.460974853640181,0.44,4.090909090909091,0.14,0.006666666666666667
