Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Angola,AGO,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.266028465521528,0.246028735744596,0.248943246560682,0.269213202992638,0.275694900170977,0.276782805852719,0.266591064734935,0.29344435298109,0.303511740427379,0.322659548779926,0.31026805278118,0.278146658455425,0.258011873470986,0.270380329758935,0.21436300368458,0.261327276237058,0.261739415183947,0.264790669665271,0.260663533048074,..
Angola,AGO,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,61.2209,59.7285,63.0361,64.5384,71.665,70.5619,72.492,77.0263,78.9976,83.5369,80.6255,75.4336,70.4651,71.2087,63.1592,66.6019,68.0352,68.2808,69.9229,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.44100897843275,8.61624042186554,7.81831803295795,10.3661474573001,10.0913068588653,9.55630602216444,9.69697932366603,10.3295507034404,11.4782158930109,13.6637723279796,14.6711413269562,14.9283260019113,13.3397905678931,12.3911585673156,15.0223674268676,16.561923695764,18.9890929801653,20.6897623256468,22.0693262844667,..
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,84.6246041171541,97.2256306999958,108.680408741993,102.263183257986,90.9940631355109,89.0369443425845,81.9394785486361,77.3498013716078,69.5801424481147,54.9793808779835,47.0155661405313,45.6643423539921,58.916480075976,60.7148243336685,54.3442286847189,61.5262136695806,55.2547732713835,53.033483632308,50.8422305562091,..
Angola,AGO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,34.5934530161,36.9028641769228,39.7766173730147,42.8407631116882,46.0853872702511,47.0598256171017,49.7810428787236,48.2055508173157,58.3584075799997,27.6697195798827,0,0,0,0,0,0,0,..,..,..
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.4030640891955,35.4896927889629,35.4495869094409,35.7985080612818,35.9749739311783,36.3487607283228,36.3383331996471,36.4867249538782,36.6359188256998,36.7281623486003,36.7562364642657,36.7089115264298,36.7193390551055,36.7819042271597,36.7883211678832,36.8308334001765,36.9471404507901,36.9479425683805,..,..
Angola,AGO,Real interest rate (%),FR.INR.RINR,2.30827389629116,11.908133430495,-5.77235856598051,34.9396938678722,-4.76194124374164,-8.39804755510652,8.91040000919163,12.1812486049925,11.8181537125048,20.4438021561075,-4.21286122228678,-6.39117809667091,-3.60811739452124,-0.475965539253782,3.09512618211643,-11.9794289274505,1.68930733692755,-0.855065283252539,-4.17755819878416,..
Antigua and Barbuda,ATG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.0789598532914022,0.079005361077828,0.0850917830731188,0.111543653439123,0.126569855985975,0.0985018807668849,0.101556617973799,0.117036744712147,0.123291153597945,0.126474186795137,0.131445546025665,0.112652849663585,0.109375515359865,0.126462059931273,0.148320939545823,0.139428025057843,0.132222340165273,0.129502872023822,0.12932800330392,..
Antigua and Barbuda,ATG,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.126384568071257,0.126457408656587,0.136199445690716,0.178538787413485,0.202589998750296,0.157663890394852,0.162553357970764,0.187331128571401,0.197342048458188,0.202436868914591,0.210394116337007,0.180314186934777,0.17506842642314,0.202417458437144,0.237405176162644,0.223171016528254,0.211637467074404,0.207284637223361,0.207004739190212,..
